gene_callers_id	MIT1002_ac_a	MIT1002_ac_b	MIT1002_ac_c	MIT1002_glc_a	MIT1002_glc_ac_5_a	MIT1002_glc_ac_5_c	MIT1002_glc_ac_8_a	MIT1002_glc_ac_8_b	MIT1002_glc_ac_8_c	MIT1002_glc_b	MIT1002_glc_c
3695	9776.830022075055	2572.9139072847684	2777.205298013245	616.9072847682119	6018.830022075055	10002.057395143487	2038.3068432671082	1694.1743929359823	2816.2295805739514	652.2980132450331	1174.141280353201
3696	11054.162280701754	3326.7631578947367	3533.0263157894738	655.311403508772	7021.714912280701	12596.219298245614	2475.65350877193	1959.5438596491229	3407.6008771929824	790.7280701754386	1342.872807017544
3697	13991.385572139303	4304.293532338308	4383.467661691542	761.6243781094528	8374.355721393034	14829.94776119403	2758.955223880597	2218.554726368159	3745.3756218905473	889.455223880597	1628.7039800995026
3698	93.24652777777777	24.864583333333332	29.864583333333332	37.8125	181.00694444444446	260.1388888888889	25.395833333333332	22.01736111111111	42.59722222222222	14.333333333333334	38.916666666666664
3699	89.37935323383084	29.487562189054728	22.41169154228856	38.690298507462686	106.9776119402985	174.61940298507463	39.95273631840796	33.77238805970149	66.48507462686567	16.690298507462686	47.993781094527364
3700	84.20588235294117	24.017345399698343	19.233785822021115	47.801659125188536	60.6764705882353	114.2051282051282	37.89668174962293	33.55731523378582	68.12669683257919	20.019607843137255	46.282805429864254
3701	150.7907124681934	45.32697201017812	31.84351145038168	88.24236641221374	69.67239185750635	141.2945292620865	83.02989821882952	78.20165394402035	147.03689567430027	44.029262086513995	92.02735368956743
3702	125.35922974767597	32.418326693227094	88.70451527224435	65.93625498007968	99.56241699867198	140.26228419654714	82.53054448871183	75.76294820717132	138.61620185922976	32.614209827357236	64.37848605577689
3703	141.26500461680516	31.575253924284397	163.51431209602956	29.973222530009235	112.1994459833795	114.86149584487535	44.126500461680514	39.069252077562325	71.9713758079409	15.867959372114496	30.570637119113574
3704	25.733830845771145	7.104477611940299	5.992537313432836	10.099502487562189	17.445273631840795	30.28358208955224	12.08955223880597	10.507462686567164	19.253731343283583	5.064676616915423	10.599502487562189
3705	34.17397998460354	10.615858352578908	9.822170900692841	10.11239414934565	21.63587374903772	40.10623556581986	16.920708237105465	13.978444957659738	25.578906851424172	5.710546574287914	12.032332563510392
3706	50.791044776119406	13.85771144278607	13.451741293532338	8.600995024875623	32.69452736318408	52.799004975124376	19.12537313432836	15.210945273631841	27.518407960199006	5.407960199004975	10.085572139303483
3707	25.967261904761905	7.939484126984127	6.188492063492063	4.7936507936507935	12.584325396825397	23.875992063492063	13.843253968253968	13.424603174603174	21.166666666666668	2.4523809523809526	6.186507936507937
3708	37.200209643605874	11.075471698113208	7.30083857442348	7.240041928721174	16.08071278825996	25.51362683438155	22.20440251572327	19.747379454926623	32.34905660377358	3.10062893081761	6.466457023060797
3709	614.1093333333333	213.55333333333334	94.73333333333333	44.64533333333333	92.36533333333334	163.90533333333335	766.0693333333334	748.3533333333334	1171.0946666666666	22.124	42.534666666666666
3710	51.135458167330675	13.324037184594953	15.416998671978751	14.47011952191235	34.10756972111554	51.81806108897742	21.99468791500664	21.240371845949536	34.722443559096945	5.48738379814077	17.54980079681275
3711	16.595065312046444	4.1572327044025155	4.470730527334301	3.3497822931785195	8.67343976777939	15.951620706337687	7.2757619738751815	6.447992259313014	11.3096274794388	1.6840832123850993	3.7547169811320753
3712	11.684606481481481	3.212384259259259	3.244212962962963	2.6747685185185186	5.796875	9.485532407407407	5.511574074074074	5.387152777777778	8.004050925925926	1.5439814814814814	3.1921296296296298
3713	13.318389373183894	4.043171440431714	3.835616438356164	3.813615608136156	6.710668327106683	11.001245330012454	4.640099626400996	4.274802822748028	6.378165213781652	1.340805313408053	3.9485263594852635
3714	39.1777108433735	12.487951807228916	12.17570281124498	13.46987951807229	28.813253012048193	43.50401606425703	17.188755020080322	16.583333333333332	25.802208835341364	7.913654618473895	13.792168674698795
