Accession	DSS3_ac_a	DSS3_ac_b	DSS3_ac_c	DSS3_glc_ac_19_a	DSS3_glc_ac_19_b	DSS3_glc_ac_19_c	DSS3_glc_ac_34_a	DSS3_glc_ac_34_b	DSS3_glc_ac_34_c	DSS3_glc_a	DSS3_glc_b	DSS3_glc_c
SPO1767	5.49179E-05	3.08913E-05	5.49179E-05	1.37295E-05	3.08913E-05	3.08913E-05	5.49179E-05	8.58092E-05		2.14838E-05		4.01227E-05
SPO1769	6.05156E-06	1.3616E-05	2.42062E-05	7.41316E-05	7.41316E-05	7.41316E-05	3.78222E-05	3.78222E-05	7.41316E-05	6.04714E-05	5.79778E-05	0.000489268
SPO1770	0.000137295	0.000179324	0.000179324	0.00010087	0.000137295	7.00483E-05	0.000137295	0.000339034	0.000179324	0.000390527	0.000245765	0.000311073
SPO1773	0.000544141	0.00060628	0.000429938	0.000377875	0.000544141	0.00024184	0.001511502	0.000671778	0.001135306	0.001977044	0.001562109	0.000569854
SPO1774				3.05099E-06								
SPO1775		2.29782E-06	2.29782E-06	9.19128E-06	9.19128E-06	9.19128E-06	2.06804E-05	3.67651E-05	8.27215E-05		5.49179E-05	
SPO1776	7.91609E-05	6.06076E-05	6.06076E-05	0.000149664	0.000100188	6.06076E-05	0.000100188	0.000123689	7.91609E-05	0.000610199	0.000149327	0.000610199
SPO1777	5.06156E-06	1.13885E-05		2.02462E-05	2.02462E-05	1.13885E-05	5.06156E-06	8.09849E-05	8.09849E-05	1.1107E-05	6.14466E-05	9.76318E-05
SPO1780	1.07157E-05	2.41103E-05	2.41103E-05	9.64412E-05	4.28627E-05		2.41103E-05	1.07157E-05				
SPO1781	0.000159737	8.44891E-05	0.000132014	0.000132014	8.44891E-05	8.44891E-05	0.000106931	0.000106931	0.000159737	0.001031236	7.88714E-05	0.000610199
SPO1783	0.000191759	0.000113467	9.1908E-05	4.0848E-05	9.1908E-05	5.55987E-05	0.000113467	0.000409615	0.000222395	0.002246641	0.000738341	0.001372947
SPO1784	6.41377E-05	0.000100215	0.00014431	6.41377E-05	0.000100215	1.60344E-05	3.60774E-05	1.60344E-05	6.41377E-05	5.49179E-05	1.16297E-05	3.48685E-05
SPO1785	1.85116E-05	5.14212E-05	3.29096E-05	3.29096E-05	1.85116E-05		5.14212E-05	1.85116E-05	3.29096E-05	4.93644E-06	5.16874E-06	2.4408E-05
