gene_callers_id	DSS3_ac_a	DSS3_ac_b	DSS3_glc_a	DSS3_glc_ac_19_a	DSS3_glc_ac_19_b	DSS3_glc_ac_19_c	DSS3_glc_ac_34_a	DSS3_glc_ac_34_b	DSS3_glc_ac_34_c	DSS3_glc_b	DSS3_glc_c
345	1699.0137524557956	1830.935166994106	272.5049115913556	1432.6208251473477	1049.9076620825147	1045.4891944990177	175.0058939096267	131.26326129666012	188.78978388998036	297.81925343811395	261.92927308447935
346	1778.1198658843252	2009.8608549874266	596.9882648784577	2361.201173512154	1767.1559094719196	1642.4593461860854	290.2414082145851	238.32690695725063	337.7569153394803	706.268231349539	627.3126571668064
347	194.55782918149467	214.22064056939502	294.2241992882562	246.62900355871886	186.26067615658363	186.5418149466192	162.59430604982205	182.788256227758	255.33896797153025	302.08096085409255	291.7553380782918
348	1446.4438669438669	1503.1330561330562	675.5717255717256	1192.9095634095634	910.3669438669439	928.6382536382537	663.6756756756756	662.2609147609147	945.3180873180874	965.6320166320166	712.8929313929314
349	200.45298013245034	223.36688741721855	68.4251655629139	144.98940397350992	107.65695364238411	101.55364238410596	84.9205298013245	78.3682119205298	107.90331125827815	86.88741721854305	74.97880794701987
350	225.26433121019107	308.2356687898089	49.87579617834395	66.68152866242038	67.54458598726114	67.10191082802548	60.81528662420382	83.71656050955414	90.171974522293	45.35668789808917	52.17515923566879
351	926.2753792298716	904.1855309218203	89.49124854142357	799.5379229871645	640.8938156359393	641.343057176196	55.08051341890315	47.295215869311555	75.70945157526255	108.97782963827305	110.42590431738623
352	1016.7256317689531	1171.2328519855596	263.3465703971119	850.8429602888086	694.6768953068593	611.1028880866426	266.2202166064982	193.15703971119135	331.96028880866425	343.32129963898916	293.57039711191334
353	1600.2038834951456	1787.7087378640776	307.09708737864077	1043.5533980582525	742.9271844660194	731.2087378640776	286.3592233009709	215.74757281553397	394.31553398058253	390.49514563106794	316.4611650485437
354	1114.6420233463034	1183.9406614785992	179.5729571984436	886.6760700389106	693.0739299610894	642.3910505836576	171.27626459143968	138.9931906614786	217.81906614785993	223.57879377431905	186.1225680933852
355	358.9802110817942	438.93007915567284	179.78759894459102	382.7401055408971	271.97757255936676	262.9221635883905	141.99604221635883	110.46965699208444	190.51715039577837	205.221635883905	177.47493403693932
356	322.7416918429003	301.80060422960725	103.36253776435045	219.9154078549849	157.46978851963746	151.13444108761328	135.06042296072508	137.64501510574019	187.26586102719034	113.35045317220543	101.74018126888218
357	1910.4740932642487	2116.7875647668393	884.3082901554404	2126.896373056995	1725.6217616580311	1684.300518134715	1145.7875647668393	950.1347150259068	1412.059585492228	913.9715025906736	992.3471502590673
358	1023.932614555256	1151.1159029649596	263.52830188679246	865.7358490566038	514.2371967654987	529.9892183288409	326.3719676549865	194.3800539083558	335.86522911051213	272.17520215633425	259.54177897574124
359	1217.0448753462604	1317.8952908587257	429.8337950138504	1104.074238227147	760.3473684210526	779.3407202216066	404.21717451523546	326.1191135734072	483.49750692520774	495.6891966759003	446.90858725761774
360	1587.1886120996442	1749.4768683274021	485.16725978647685	1428.7330960854092	1072.711743772242	1015.7651245551601	610.6761565836299	461.4199288256228	743.0533807829181	582.0960854092526	528.2526690391459
361	2302.5853658536585	2163.431322207959	862.8767650834403	1766.2657252888318	1775.9139922978177	1708.5442875481385	801.3183568677792	708.8818998716303	1005.198973042362	1406.1951219512196	1182.6444159178434
362	1776.76516905975	1771.3566465956462	439.251968503937	1361.8684576192682	1079.732283464567	1009.227883279296	688.1880500231589	556.6081519221862	839.3293191292265	423.9365446966188	393.62806855025474
363	21859.781395348837	10546.990697674419	885.2046511627907	1955.4186046511627	1769.5581395348838	1524.9395348837209	925.4604651162791	371.52558139534887	983.446511627907	377.293023255814	403.69767441860466
364	608.53683319221	766.5351397121084	133.5986452159187	253.8856900931414	186.307366638442	212.67739204064353	120.10838272650297	117.63674851820491	151.14987298899237	101.85944115156647	127.24132091447926
365	221.46207701283546	292.6907817969662	236.1120186697783	267.54609101516917	222.19253208868145	217.68144690781796	162.91365227537923	157.8634772462077	226.78179696616104	284.3850641773629	257.65694282380394
366	2629.3788732394364	2974.3802816901407	1324.123943661972	2727.0098591549295	2136.5605633802816	2432.225352112676	631.2802816901409	740.6943661971831	893.7746478873239	1741.8169014084508	1487.8957746478873
367	2058.813880126183	2318.7381703470032	890.7665615141956	1659.5488958990536	1454.2586750788644	1257.4258675078863	659.9179810725552	609.3753943217665	925.6056782334385	999.1451104100946	834.8044164037855
368	2003.779	2040.977	68.291	991.8625	823.871	770.2965	52.0885	49.574	70.1125	79.8615	78.6205
369	122.81174984207202	133.93114339861023	60.14213518635502	78.59191408717625	55.441566645609605	52.12128869235629	53.93746051800379	47.87113076437144	72.86165508528111	66.99557801642452	63.89387239418825
